Date,Open,High,Low,Close,Volume,Adj Close,Diff,StockUp,Year,Month,Day
2016-03-14,101.910004,102.910004,101.779999,102.519997,25027400,102.519997,-0.609993,0,2016,3,14
2016-03-11,102.239998,102.279999,101.5,102.260002,27200800,102.260002,-0.020004,0,2016,3,11
2016-03-10,101.410004,102.239998,100.150002,101.169998,33470400,101.169998,0.240006,1,2016,3,10
2016-03-09,101.309998,101.580002,100.269997,101.120003,27130700,101.120003,0.189995,1,2016,3,9
2016-03-08,100.779999,101.760002,100.400002,101.029999,31274200,101.029999,-0.25,0,2016,3,8
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,101.870003,0.519996,1,2016,3,7
2016-03-04,102.370003,103.75,101.370003,103.010002,45936500,103.010002,-0.639999,0,2016,3,4
2016-03-03,100.580002,101.709999,100.449997,101.5,36792200,101.5,-0.919998,0,2016,3,3
2016-03-02,100.510002,100.889999,99.639999,100.75,33084900,100.75,-0.239998,0,2016,3,2
2016-03-01,97.650002,100.769997,97.419998,100.529999,50153900,100.529999,-2.879997,0,2016,3,1
2016-02-29,96.860001,98.230003,96.650002,96.690002,34876600,96.690002,0.169999,1,2016,2,29
2016-02-26,97.199997,98.019997,96.580002,96.910004,28913200,96.910004,0.289993,1,2016,2,26
2016-02-25,96.050003,96.760002,95.25,96.760002,27393900,96.760002,-0.709999,0,2016,2,25
2016-02-24,93.980003,96.379997,93.32,96.099998,36155600,96.099998,-2.119995,0,2016,2,24
2016-02-23,96.400002,96.5,94.550003,94.690002,31686700,94.690002,1.71,1,2016,2,23
2016-02-22,96.309998,96.900002,95.919998,96.879997,34048200,96.879997,-0.569999,0,2016,2,22
2016-02-19,96,96.760002,95.800003,96.040001,34485600,96.040001,-0.040001,0,2016,2,19
2016-02-18,98.839996,98.889999,96.089996,96.260002,38494400,96.260002,2.579994,1,2016,2,18
2016-02-17,96.669998,98.209999,96.150002,98.120003,44390200,98.120003,-1.450005,0,2016,2,17
2016-02-16,95.019997,96.849998,94.610001,96.639999,47490700,96.639999,-1.620002,0,2016,2,16
2016-02-12,94.190002,94.5,93.010002,93.989998,40121700,93.989998,0.200004,1,2016,2,12
2016-02-11,93.790001,94.720001,92.589996,93.699997,49686200,93.699997,0.090004,1,2016,2,11
2016-02-10,95.919998,96.349998,94.099998,94.269997,42245000,94.269997,1.650001,1,2016,2,10
2016-02-09,94.290001,95.940002,93.93,94.989998,44331200,94.989998,-0.699997,0,2016,2,9
2016-02-08,93.129997,95.699997,93.040001,95.010002,54021400,95.010002,-1.880005,0,2016,2,8
2016-02-05,96.519997,96.919998,93.690002,94.019997,46418100,94.019997,2.5,1,2016,2,5
2016-02-04,95.860001,97.330002,95.190002,96.599998,46471700,96.599998,-0.739997,0,2016,2,4
2016-02-03,95,96.839996,94.080002,96.349998,45964300,95.830001,-1.349998,0,2016,2,3
2016-02-02,95.419998,96.040001,94.279999,94.480003,37357200,93.970098,0.939995,1,2016,2,2
2016-02-01,96.470001,96.709999,95.400002,96.43,40943500,95.909571,0.040001,1,2016,2,1
2016-01-29,94.790001,97.339996,94.349998,97.339996,64416500,96.814656,-2.549995,0,2016,1,29
2016-01-28,93.790001,94.519997,92.389999,94.089996,55678800,93.582196,-0.299995,0,2016,1,28
2016-01-27,96.040001,96.629997,93.339996,93.419998,133369700,92.915814,2.620003,1,2016,1,27
2016-01-26,99.93,100.879997,98.07,99.989998,75077000,99.450356,-0.059998,0,2016,1,26
2016-01-25,101.519997,101.529999,99.209999,99.440002,51794500,98.903329,2.079995,1,2016,1,25
2016-01-22,98.629997,101.459999,98.370003,101.419998,65800500,100.872638,-2.790001,0,2016,1,22
2016-01-21,97.059998,97.879997,94.940002,96.300003,52161500,95.780276,0.759995,1,2016,1,21
2016-01-20,95.099998,98.190002,93.419998,96.790001,72334400,96.267629,-1.690003,0,2016,1,20
2016-01-19,98.410004,98.650002,95.5,96.660004,53087700,96.138333,1.75,1,2016,1,19
2016-01-15,96.199997,97.709999,95.360001,97.129997,79833900,96.60579,-0.93,0,2016,1,15
2016-01-14,97.959999,100.480003,95.739998,99.519997,63170100,98.982891,-1.559998,0,2016,1,14
2016-01-13,100.32,101.190002,97.300003,97.389999,62439600,96.864389,2.930001,1,2016,1,13
2016-01-12,100.550003,100.690002,98.839996,99.959999,49154200,99.420519,0.590004,1,2016,1,12
2016-01-11,98.970001,99.059998,97.339996,98.529999,49739400,97.998236,0.440002,1,2016,1,11
2016-01-08,98.550003,99.110001,96.760002,96.959999,70798000,96.43671,1.590004,1,2016,1,8
2016-01-07,98.68,100.129997,96.43,96.449997,81094400,95.92946,2.230003,1,2016,1,7
2016-01-06,100.559998,102.370003,99.870003,100.699997,68457400,100.156523,-0.139999,0,2016,1,6
2016-01-05,105.75,105.849998,102.410004,102.709999,55791000,102.155677,3.040001,1,2016,1,5
2016-01-04,102.610001,105.370003,102,105.349998,67649400,104.781429,-2.739997,0,2016,1,4
2015-12-31,107.010002,107.029999,104.82,105.260002,40912300,104.691918,1.75,1,2015,12,31
2015-12-30,108.580002,108.699997,107.18,107.32,25213800,106.740798,1.260002,1,2015,12,30
2015-12-29,106.959999,109.43,106.860001,108.739998,30931200,108.153132,-1.779999,0,2015,12,29
2015-12-28,107.589996,107.690002,106.18,106.82,26704200,106.243496,0.769996,1,2015,12,28
2015-12-24,109,109,107.949997,108.029999,13596700,107.446965,0.970001,1,2015,12,24
2015-12-23,107.269997,108.849998,107.199997,108.610001,32657400,108.023837,-1.340004,0,2015,12,23
2015-12-22,107.400002,107.720001,106.449997,107.230003,32789400,106.651287,0.169999,1,2015,12,22
2015-12-21,107.279999,107.370003,105.57,107.330002,47590600,106.750746,-0.050003,0,2015,12,21
2015-12-18,108.910004,109.519997,105.809998,106.029999,96453300,105.457759,2.880005,1,2015,12,18
2015-12-17,112.019997,112.25,108.980003,108.980003,44772800,108.391842,3.039994,1,2015,12,17
2015-12-16,111.07,111.989998,108.800003,111.339996,56238500,110.739099,-0.269996,0,2015,12,16
2015-12-15,111.940002,112.800003,110.349998,110.489998,52978100,109.893688,1.450004,1,2015,12,15
2015-12-14,112.18,112.68,109.790001,112.480003,64318700,111.872953,-0.300003,0,2015,12,14
2015-12-11,115.190002,115.389999,112.849998,113.18,46886200,112.569172,2.010002,1,2015,12,11
2015-12-10,116.040001,116.940002,115.510002,116.169998,29212700,115.543033,-0.129997,0,2015,12,10
2015-12-09,117.639999,117.690002,115.080002,115.620003,46361400,114.996006,2.019996,1,2015,12,9
2015-12-08,117.519997,118.599998,116.860001,118.230003,34309500,117.591921,-0.710006,0,2015,12,8
