Diff,StockUp,Year,Month,Day
-0.609993,0,2016,3,14
-0.020004,0,2016,3,11
0.240006,1,2016,3,10
0.189995,1,2016,3,9
-0.25,0,2016,3,8
0.519996,1,2016,3,7
-0.639999,0,2016,3,4
-0.919998,0,2016,3,3
-0.239998,0,2016,3,2
-2.879997,0,2016,3,1
0.169999,1,2016,2,29
0.289993,1,2016,2,26
-0.709999,0,2016,2,25
-2.119995,0,2016,2,24
1.71,1,2016,2,23
-0.569999,0,2016,2,22
-0.040001,0,2016,2,19
2.579994,1,2016,2,18
-1.450005,0,2016,2,17
-1.620002,0,2016,2,16
0.200004,1,2016,2,12
0.090004,1,2016,2,11
1.650001,1,2016,2,10
-0.699997,0,2016,2,9
-1.880005,0,2016,2,8
2.5,1,2016,2,5
-0.739997,0,2016,2,4
-1.349998,0,2016,2,3
0.939995,1,2016,2,2
0.040001,1,2016,2,1
-2.549995,0,2016,1,29
-0.299995,0,2016,1,28
2.620003,1,2016,1,27
-0.059998,0,2016,1,26
2.079995,1,2016,1,25
-2.790001,0,2016,1,22
0.759995,1,2016,1,21
-1.690003,0,2016,1,20
1.75,1,2016,1,19
-0.93,0,2016,1,15
-1.559998,0,2016,1,14
2.930001,1,2016,1,13
0.590004,1,2016,1,12
0.440002,1,2016,1,11
1.590004,1,2016,1,8
2.230003,1,2016,1,7
-0.139999,0,2016,1,6
3.040001,1,2016,1,5
-2.739997,0,2016,1,4
1.75,1,2015,12,31
1.260002,1,2015,12,30
-1.779999,0,2015,12,29
0.769996,1,2015,12,28
0.970001,1,2015,12,24
-1.340004,0,2015,12,23
0.169999,1,2015,12,22
-0.050003,0,2015,12,21
2.880005,1,2015,12,18
3.039994,1,2015,12,17
-0.269996,0,2015,12,16
1.450004,1,2015,12,15
-0.300003,0,2015,12,14
2.010002,1,2015,12,11
-0.129997,0,2015,12,10
2.019996,1,2015,12,9
-0.710006,0,2015,12,8
0.700004,1,2015,12,7
-3.739998,0,2015,12,4
1.350006,1,2015,12,3
1.059997,1,2015,12,2
1.410004,1,2015,12,1
-0.310005,0,2015,11,30
0.480003,1,2015,11,27
1.18,1,2015,11,25
-1.549995,0,2015,11,24
1.519997,1,2015,11,23
-0.100006,0,2015,11,20
-1.14,0,2015,11,19
-1.529999,0,2015,11,18
1.229996,1,2015,11,17
-2.800003,0,2015,11,16
2.860001,1,2015,11,13
0.540001,1,2015,11,12
0.260002,1,2015,11,11
0.130005,1,2015,11,10
0.389999,1,2015,11,9
0.050003,1,2015,11,6
0.93,1,2015,11,5
1.129997,1,2015,11,4
-1.779999,0,2015,11,3
-0.379997,0,2015,11,2
1.489998,1,2015,10,30
-1.830002,0,2015,10,29
-2.339997,0,2015,10,28
0.849999,1,2015,10,27
2.800003,1,2015,10,26
-2.380005,0,2015,10,23
-1.169998,0,2015,10,22
0.239998,1,2015,10,21
-2.430001,0,2015,10,20
-0.93,0,2015,10,19
0.739998,1,2015,10,16
-0.930001,0,2015,10,15
1.080002,1,2015,10,14
-0.970001,0,2015,10,13
1.130005,1,2015,10,12
-2.120003,0,2015,10,9
0.690002,1,2015,10,8
0.959999,1,2015,10,7
-0.680001,0,2015,10,6
-0.900002,0,2015,10,5
-2.369995,0,2015,10,2
-0.510002,0,2015,10,1
-0.130005,0,2015,9,30
3.770004,1,2015,9,29
1.409996,1,2015,9,28
1.730003,1,2015,9,25
-1.75,0,2015,9,24
-0.690003,0,2015,9,23
-0.020005,0,2015,9,22
-1.540001,0,2015,9,21
-1.239998,0,2015,9,18
1.740006,1,2015,9,17
-0.160004,0,2015,9,16
-0.349999,0,2015,9,15
1.270004,1,2015,9,14
-2.419998,0,2015,9,11
-2.300003,0,2015,9,10
3.61,1,2015,9,9
-0.559998,0,2015,9,8
-0.299996,0,2015,9,4
2.119995,1,2015,9,3
-2.109993,0,2015,9,2
2.430001,1,2015,9,1
-0.730003,0,2015,8,31
-1.120003,0,2015,8,28
-0.689995,0,2015,8,27
-2.600006,0,2015,8,26
7.370003,1,2015,8,25
-8.25,0,2015,8,24
4.669998,1,2015,8,21
1.43,1,2015,8,20
1.089996,1,2015,8,19
-0.07,0,2015,8,18
-1.120003,0,2015,8,17
-1.639999,0,2015,8,14
0.889999,1,2015,8,13
-2.709999,0,2015,8,12
4.32,1,2015,8,11
-3.190002,0,2015,8,10
-0.939995,0,2015,8,7
0.840004,1,2015,8,6
-2.450005,0,2015,8,5
2.779999,1,2015,8,4
3.059998,1,2015,8,3
1.299995,1,2015,7,31
-0.050003,0,2015,7,30
0.160004,1,2015,7,29
0,0,2015,7,28
0.319999,1,2015,7,27
0.82,1,2015,7,24
1.039993,1,2015,7,23
-3.230003,0,2015,7,22
2.100006,1,2015,7,21
-1.100006,0,2015,7,20
-0.539993,0,2015,7,17
-0.769997,0,2015,7,16
-1.099999,0,2015,7,15
0.43,1,2015,7,14
-0.630005,0,2015,7,13
-1.339997,0,2015,7,10
3.779998,1,2015,7,9
1.910003,1,2015,7,8
0.199997,1,2015,7,7
-1.059998,0,2015,7,6
-0.010002,0,2015,7,2
0.300004,1,2015,7,1
0.14,1,2015,6,30
0.93,1,2015,6,29
0.919998,1,2015,6,26
1.360001,1,2015,6,25
-0.900002,0,2015,6,24
0.450004,1,2015,6,23
-0.120003,0,2015,6,22
1.110001,1,2015,6,19
-0.649994,0,2015,6,18
0.419998,1,2015,6,17
-0.569999,0,2015,6,16
-0.82,0,2015,6,15
1.020004,1,2015,6,12
0.589997,1,2015,6,11
-0.960007,0,2015,6,10
-0.720001,0,2015,6,9
1.099991,1,2015,6,8
0.850006,1,2015,6,5
0.220001,1,2015,6,4
0.540009,1,2015,6,3
-0.100006,0,2015,6,2
-0.259994,0,2015,6,1
0.949997,1,2015,5,29
0.080002,1,2015,5,28
-1.699997,0,2015,5,27
2.980011,1,2015,5,26
-0.939987,0,2015,5,22
-1.319992,0,2015,5,21
-0.059998,0,2015,5,20
0.619995,1,2015,5,19
-1.809997,0,2015,5,18
0.300003,1,2015,5,15
-1.539993,0,2015,5,14
0.14,1,2015,5,13
-0.270005,0,2015,5,12
1.069999,1,2015,5,11
-0.940003,0,2015,5,8
-0.490005,0,2015,5,7
1.549996,1,2015,5,6
2.349991,1,2015,5,5
0.800003,1,2015,5,4
-2.849999,0,2015,5,1
3.489997,1,2015,4,30
1.520005,1,2015,4,29
3.900009,1,2015,4,28
-0.339996,0,2015,4,27
0.210006,1,2015,4,24
-1.369995,0,2015,4,23
-1.629997,0,2015,4,22
1.190002,1,2015,4,21
-2.029998,0,2015,4,20
0.800003,1,2015,4,17
0.110001,1,2015,4,16
-0.369995,0,2015,4,15
0.699997,1,2015,4,14
1.519997,1,2015,4,13
-1.150001,0,2015,4,10
-0.71,0,2015,4,9
0.25,1,2015,4,8
1.629997,1,2015,4,7
-2.879997,0,2015,4,6
-0.290001,0,2015,4,2
0.57,1,2015,4,1
1.659996,1,2015,3,31
-2.32,0,2015,3,30
1.32,1,2015,3,27
-1.479996,0,2015,3,26
3.160004,1,2015,3,25
0.540001,1,2015,3,24
-0.089996,0,2015,3,23
2.349998,1,2015,3,20
1.25,1,2015,3,19
-1.470001,0,2015,3,18
-1.139999,0,2015,3,17
-1.07,0,2015,3,16
0.810006,1,2015,3,13
-2.139999,0,2015,3,12
2.510002,1,2015,3,11
1.900002,1,2015,3,10
0.82,1,2015,3,9
1.799996,1,2015,3,6
2.169998,1,2015,3,5
0.560013,1,2015,3,4
-0.399994,0,2015,3,3
0.160004,1,2015,3,2
1.539993,1,2015,2,27
-1.630005,0,2015,2,26
2.770005,1,2015,2,25
0.770004,1,2015,2,24
-2.979996,0,2015,2,23
-0.880005,0,2015,2,20
0.029999,1,2015,2,19
-1.090004,0,2015,2,18
-0.340004,0,2015,2,17
0.199997,1,2015,2,13
-0.400001,0,2015,2,12
-2.11,0,2015,2,11
-1.849999,0,2015,2,10
-1.169998,0,2015,2,9
1.089997,1,2015,2,6
0.079995,1,2015,2,5
-1.059998,0,2015,2,4
-0.150002,0,2015,2,3
-0.579994,0,2015,2,2
1.239998,1,2015,1,30
-2.580002,0,2015,1,29
2.319999,1,2015,1,28
3.279999,1,2015,1,27
0.64,1,2015,1,26
-0.68,0,2015,1,23
-2.14,0,2015,1,22
-0.600006,0,2015,1,21
-0.880005,0,2015,1,20
1.040001,1,2015,1,16
3.18,1,2015,1,15
-0.760002,0,2015,1,14
1.209999,1,2015,1,13
3.349998,1,2015,1,12
0.659996,1,2015,1,9
-2.659996,0,2015,1,8
-0.550003,0,2015,1,7
0.279999,1,2015,1,6
2.040001,1,2015,1,5
2.059997,1,2015,1,2
2.440003,1,2014,12,31
1.120002,1,2014,12,30
-0.120003,0,2014,12,29
-1.89,0,2014,12,26
0.57,1,2014,12,24
0.690002,1,2014,12,23
-0.779998,0,2014,12,22
0.480003,1,2014,12,19
-0.779999,0,2014,12,18
-2.290001,0,2014,12,17
-0.379997,0,2014,12,16
2.469994,1,2014,12,15
0.729996,1,2014,12,12
0.639999,1,2014,12,11
2.460007,1,2014,12,10
-3.930001,0,2014,12,9
1.699996,1,2014,12,8
0.989998,1,2014,12,5
0.279999,1,2014,12,4
-0.18,0,2014,12,3
-1.129997,0,2014,12,2
3.739998,1,2014,12,1
0.339997,1,2014,11,28
-1.059998,0,2014,11,26
1.470002,1,2014,11,25
-1.779999,0,2014,11,24
1.040001,1,2014,11,21
-1.399994,0,2014,11,20
0.770004,1,2014,11,19
-1.529999,0,2014,11,18
0.279999,1,2014,11,17
-1.029998,0,2014,11,14
-1.019997,0,2014,11,13
-1.870003,0,2014,11,12
-1,0,2014,11,11
0.189995,1,2014,11,10
-0.260002,0,2014,11,7
-0.099999,0,2014,11,6
0.239997,1,2014,11,5
0.760003,1,2014,11,4
-1.180001,0,2014,11,3
0.010002,1,2014,10,31
-0.020004,0,2014,10,30
-0.689994,0,2014,10,29
-1.339996,0,2014,10,28
-0.260003,0,2014,10,27
-0.040001,0,2014,10,24
-0.75,0,2014,10,23
-0.150002,0,2014,10,22
0.549996,1,2014,10,21
-1.440002,0,2014,10,20
-0.169998,0,2014,10,17
-0.709999,0,2014,10,16
0.43,1,2014,10,15
1.639999,1,2014,10,14
1.520004,1,2014,10,13
-0.040001,0,2014,10,10
0.520004,1,2014,10,9
-2.040001,0,2014,10,8
0.68,1,2014,10,7
0.329994,1,2014,10,6
-0.180001,0,2014,10,3
-0.630005,0,2014,10,2
1.409996,1,2014,10,1
0.059998,1,2014,9,30
-1.459999,0,2014,9,29
-2.220001,0,2014,9,26
2.639999,1,2014,9,25
0.410004,1,2014,9,24
-2.040001,0,2014,9,23
0.740005,1,2014,9,22
1.330002,1,2014,9,19
0.139999,1,2014,9,18
-0.310005,0,2014,9,17
-1.059998,0,2014,9,16
1.180001,1,2014,9,15
-0.450005,0,2014,9,12
-1.019996,0,2014,9,11
-2.989998,0,2014,9,10
1.090004,1,2014,9,9
0.940002,1,2014,9,8
-0.169998,0,2014,9,5
0.729995,1,2014,9,4
4.159996,1,2014,9,3
-0.240005,0,2014,9,2
0.360001,1,2014,8,29
-0.660004,0,2014,8,28
-1.11,0,2014,8,27
0.529999,1,2014,8,26
0.25,1,2014,8,25
-1.029999,0,2014,8,22
-0.010002,0,2014,8,21
-0.129998,0,2014,8,20
-1.119995,0,2014,8,19
-0.670006,0,2014,8,18
-0.080001,0,2014,8,15
-0.169998,0,2014,8,14
-1.089996,0,2014,8,13
0.07,1,2014,8,12
-0.720001,0,2014,8,11
-0.479996,0,2014,8,8
0.449997,1,2014,8,7
-0.209999,0,2014,8,6
0.239998,1,2014,8,5
0.780007,1,2014,8,4
-1.229995,0,2014,8,1
1.560006,1,2014,7,31
0.29,1,2014,7,30
0.950005,1,2014,7,29
-1.199997,0,2014,7,28
-0.82,0,2014,7,25
0.010002,1,2014,7,24
-1.770004,0,2014,7,23
-0.040001,0,2014,7,22
1.049996,1,2014,7,21
-0.809997,0,2014,7,18
1.940003,1,2014,7,17
2.190002,1,2014,7,16
1.480003,1,2014,7,15
-0.589996,0,2014,7,14
0.14,1,2014,7,11
-1.279999,0,2014,7,10
0.050003,1,2014,7,9
0.919999,1,2014,7,8
-1.830002,0,2014,7,7
-0.360001,0,2014,7,3
0.39,1,2014,7,2
0,0,2014,7,1
-0.830002,0,2014,6,30
-1.160003,0,2014,6,27
-0.529999,0,2014,6,26
-0.150002,0,2014,6,25
0.470001,1,2014,6,24
0.489998,1,2014,6,23
0.939994,1,2014,6,20
0.43,1,2014,6,19
0.089997,1,2014,6,18
0.229996,1,2014,6,17
-0.689995,0,2014,6,16
0.919998,1,2014,6,13
1.75,1,2014,6,12
0.269996,1,2014,6,11
0.480003,1,2014,6,10
-1,0,2014,6,9
4.329979,1,2014,6,6
-1.149986,0,2014,6,5
-7.379982,0,2014,6,4
-9.079995,0,2014,6,3
5.309975,1,2014,6,2
4.979981,1,2014,5,30
-7.529999,0,2014,5,29
2.009979,1,2014,5,28
-9.750023,0,2014,5,27
-6.879997,0,2014,5,23
-0.669976,0,2014,5,22
-2.480003,0,2014,5,21
-0.200005,0,2014,5,20
-6.740021,0,2014,5,19
-8.880043,0,2014,5,16
5.880028,1,2014,5,15
-1.439979,0,2014,5,14
-1.76004,0,2014,5,13
-5.340042,0,2014,5,12
-1.000023,0,2014,5,9
0.259979,1,2014,5,8
2.920013,1,2014,5,7
7.389968,1,2014,5,6
-10.819954,0,2014,5,5
-0.240006,0,2014,5,2
0.519959,1,2014,5,1
2.550018,1,2014,4,30
1.410019,1,2014,4,29
-21.289993,0,2014,4,28
-7.409996,0,2014,4,25
0.44001,1,2014,4,24
4.310005,1,2014,4,23
-3.390038,0,2014,4,22
-5.83004,0,2014,4,21
-4.940033,0,2014,4,17
-0.960022,0,2014,4,16
2.310013,1,2014,4,15
0.220032,1,2014,4,14
-0.61,0,2014,4,11
7.200004,1,2014,4,10
-7.680016,0,2014,4,9
1.75,1,2014,4,8
4.550011,1,2014,4,7
7.989982,1,2014,4,4
2.600006,1,2014,4,3
-0.169991,0,2014,4,2
-3.889969,0,2014,4,1
2.490044,1,2014,3,31
1.460006,1,2014,3,28
2.560006,1,2014,3,27
6.740021,1,2014,3,26
-3.490013,0,2014,3,25
-0.770005,0,2014,3,24
-0.939995,0,2014,3,21
1.189987,1,2014,3,20
0.999969,1,2014,3,19
-5.499992,0,2014,3,18
0.959969,1,2014,3,17
4.100013,1,2014,3,14
6.790009,1,2014,3,13
-2.099968,0,2014,3,12
-0.639961,0,2014,3,11
-2.559952,0,2014,3,10
0.650001,1,2014,3,7
2.039993,1,2014,3,6
-1.440033,0,2014,3,5
-0.240006,0,2014,3,4
-4.340019,0,2014,3,3
2.840012,1,2014,2,28
-10.530014,0,2014,2,27
6.26001,1,2014,2,26
7.320007,1,2014,2,25
-4.399994,0,2014,2,24
7.539986,1,2014,2,21
1.839989,1,2014,2,20
7.379982,1,2014,2,19
